Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,,,
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP16001766,SW-LPA,-910,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-01-05,2016-12-27,คุณไกรฤกษ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,3LP216024420610,VSDL17000110,SW-LUA,-65,VNG-S,ส่งก่อนเที่ยง-ไม่เกิน15.30น,2017-01-20,2017-01-18,คุณสุภาพ
บริษัท เอส.พี.เอส.อินเตอร์เทค จำกัด,Sales order,On order,1PB01S4090012302450,VSDP17000722,SW-LPA,"-1,430.00",VNG-S,ส่งเอสพี่เอสโคฯ,2017-02-08,2017-02-08,คุณไกรฤกษ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001204,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-03-01,2017-03-01,คุณวัชรชัย
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001205,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-03-01,2017-03-01,คุณวัชรชัย
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG120012302450,VSDP17001221,SW-LPA,-340,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-03-02,2017-03-01,คุณไกรฤกษ์
หจก.เกรียงไกรค้าไม้,Sales order,On order,4MBP2FS055012302450,VSDS17000216,SW-LMA,"-1,260.00",VNG-S,หจก.เกรียงไกรค้าไม้,2017-03-08,2017-03-03,คุณประดิษฐ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001330,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-03-06,2017-03-06,คุณวัชรชัย
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001617,SW-LPA,"-1,050.00",VNG-S,นีวู๊ด (สุรินทร์เฟอร์) *ให้ไม้หมอนเลยคิดเงินแล้ว*,2017-03-22,2017-03-20,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB01GG160012302450,VSDP17001928,SW-LPA,-975,VNG-S,รอเซลส์แจ้งส่ง - ใบชั่วคราว,2017-04-03,2017-04-03,คุณวัชรชัย
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG190012302450,VSDP17002011,SW-LPA,-660,VNG-S,บางบัวทอง,2017-04-08,2017-04-07,คุณดำรงศักดิ์
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG180012302450,VSDP17002011,SW-LPA,-120,VNG-S,บางบัวทอง,2017-04-08,2017-04-07,คุณดำรงศักดิ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17002024,SW-LPA,"-1,120.00",VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-08,2017-04-07,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302450,VSDP17002046,SW-LPA,-715,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-04-19,2017-04-07,คุณไกรฤกษ์
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002230,SW-LPA,-85,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25,2017-04-25,คุณวัชรชัย
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4040012302450,VSDS17000463,SW-LMA,"-1,000.00",VNG-S,บางบัวทอง,2017-05-02,2017-04-28,ดำรงศักดิ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,4MBP2FS060012302450,VSDS17000466,SW-LMA,-330,VNG-S,บริษัท ทรัพย์ลีลา จำกัด,2017-05-03,2017-04-28,คุณวิรัช
บริษัท ย่งพงษ์เส็งรังสิต จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000484,SW-LMA,-110,VNG-S,พร้อม PB,2017-05-06,2017-05-03,คุณประดิษฐ์
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000486,SW-LMA,-136,VNG-S,ส่ง ลี่หยาง **รอเซลส์แจ้งวันส่ง**,2017-05-03,2017-05-03,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000487,SW-LMA,-136,VNG-S,ส่ง ลี่หยาง **รอเซลส์แจ้งวันส่ง**,2017-05-03,2017-05-03,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000488,SW-LMA,-68,VNG-S,ร้านสมใจเฟอร์นิเจอร์(มหาสารคาม)-ใบชั่วคราว,2017-05-05,2017-05-04,คุณวัชรชัย
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,4MBP2FS055012302450,VSDS17000492,SW-LMA,-360,VNG-S,โกดัง 2,2017-05-06,2017-05-05,คุณดำรงศักดิ์
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,4MBP2FS060012302450,VSDS17000500,SW-LMA,-330,VNG-S,โกดัง 2,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท แนวหน้าค้าไม้ จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000501,SW-LMA,-68,VNG-S,ส่งพร้อมเมลามีน(เช้ามืด),2017-05-12,2017-05-09,คุณประดิษฐ์
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000502,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-05-11,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000503,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-05-12,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000504,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-05-13,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000505,SW-LMA,-124,VNG-S,M.K - ใบชั่วคราว,2017-05-11,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000506,SW-LMA,-124,VNG-S,M.K - ใบชั่วคราว,2017-05-12,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000507,SW-LMA,-62,VNG-S,M.K - ใบชั่วคราว,2017-05-16,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000508,SW-LMA,-62,VNG-S,M.K - ใบชั่วคราว,2017-05-17,2017-05-09,คุณวิรัช
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBU2FS060012302450,VSDS17000523,SW-LMA,-165,VNG-S,TMP - เมลามีน,2017-05-16,2017-05-15,คุณวัชรชัย
บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,Sales order,On order,4MBP2FS120012302450,VSDS17000528,SW-LMA,-84,VNG-S,บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,2017-05-17,2017-05-16,คุณวิรัช
บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,Sales order,On order,4MBP2FS120012302450,VSDS17000529,SW-LMA,-168,VNG-S,บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,2017-05-18,2017-05-16,คุณวิรัช
บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17000531,SW-LMA,-52,VNG-S,บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,2017-05-18,2017-05-16,คุณวิรัช
ภูพนาค้าไม้,Sales order,On order,1PB02NG150012302450,VSDP17002627,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์-ไทรน้อย,2017-05-18,2017-05-17,คุณประดิษฐ์
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB01GG180012302450,VSDP17002637,SW-LPA,-60,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-30,2017-05-17,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002638,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-19,2017-05-18,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002639,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-20,2017-05-18,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002640,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-22,2017-05-18,คุณวิรัช
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002642,SW-LPA,-70,VNG-S,ฟอร์จูน (T.T.B),2017-05-19,2017-05-18,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002645,SW-LPA,-140,VNG-S,ส่ง P.S.P เฟอร์ฯ (นนทบุรี) ใบชั่วคราว,2017-05-25,2017-05-18,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002648,SW-LPA,-140,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-05-29,2017-05-18,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002649,SW-LPA,-140,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-05-30,2017-05-18,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002650,SW-LPA,-70,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-05-31,2017-05-18,คุณวัชรชัย
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002658,SW-LPA,-140,VNG-S,ส่ง PSP - ใบชั่วคราว,2017-05-18,2017-05-18,คุณวิรัช
บริษัท ย่งพงษ์เส็งรังสิต จำกัด,Sales order,On order,4MBP2FS180012302450,VSDS17000540,SW-LMA,-18,VNG-S,บริษัท ย่งพงษ์เส็งรังสิต จำกัด,2017-05-19,2017-05-18,คุณประดิษฐ์
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000543,SW-LMA,-136,VNG-S,หลี่หยาง - ใบชั่วคราว,2017-05-20,2017-05-18,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000544,SW-LMA,-68,VNG-S,T.M.P,2017-05-25,2017-05-18,คุณวัชรชัย
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301950,VSDP17002679,SW-LPA,-280,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-05-20,2017-05-19,คุณไกรฤกษ์
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000548,SW-LMA,-68,VNG-S,หลี่หยาง - ใบชั่วคราว,2017-05-20,2017-05-19,คุณวัชรชัย
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002703,SW-LPA,-140,VNG-S,โกดังสยามวู๊ด,2017-05-23,2017-05-22,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002704,SW-LPA,-140,VNG-S,โกดังสยามวู๊ด,2017-05-23,2017-05-22,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002705,SW-LPA,-140,VNG-S,โกดังสยามวู๊ด,2017-05-23,2017-05-22,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002715,SW-LPA,-140,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-05-22,2017-05-22,คุณวิรัช
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000551,SW-LMA,-110,VNG-S,T.M.P,2017-05-24,2017-05-23,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02NG160012302450,VSDP17002724,SW-LPA,-65,VNG-S,S-วู้ดเมลามีนอาร์ต ใบชั่วคราว,2017-05-25,2017-05-23,คุณวัชรชัย
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002729,SW-LPA,-70,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-05-25,2017-05-23,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002731,SW-LPA,-70,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-24,2017-05-23,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002732,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-25,2017-05-23,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002733,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-25,2017-05-23,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS040012302450,VSDS17000553,SW-LMA,-500,VNG-S,โกดังสยามวู๊ด,2017-05-24,2017-05-24,คุณวิรัช
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17000558,SW-LMA,-3,VNG-S,"ส่งพร้อมไม้ PB, เคลือบ",2017-05-26,2017-05-24,คุณวิรัช
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002764,SW-LPA,-140,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-05-25,2017-05-25,คุณดำรงศักดิ์
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002765,SW-LPA,-70,VNG-S,ฟอร์จูน,2017-05-25,2017-05-25,คุณวิรัช
